ID,Name,Lat,Lon,LineID
80,Observatorio,19.398298021394,-99.200341701508,Linea 1
81,Tacubaya,19.40317568567,-99.18710231781,Linea 1
82,Juanacatlán,19.412910337685,-99.182145595551,Linea 1
83,Chapultepec,19.42084334447,-99.175901412964,Linea 1
84,Sevilla,19.421915889653,-99.17060136795,Linea 1
85,Insurgentes,19.423635994506,-99.162769317627,Linea 1
86,Cuauhtémoc,19.425902457802,-99.154658317566,Linea 1
87,Balderas,19.427420161084,-99.149057865143,Linea 1
88,Salto del Agua,19.426792845446,-99.142234325409,Linea 1
89,Isabel la Católica,19.426529776877,-99.137470722198,Linea 1
90,Pino Suárez,19.425760804772,-99.132900238037,Linea 1
91,Merced,19.42586198552,-99.125046730042,Linea 1
92,Candelaria,19.428836671354,-99.11906003952,Linea 1
93,San Lázaro,19.43029364046,-99.114789962769,Linea 1
94,Moctezuma,19.427238037439,-99.110262393951,Linea 1
95,Balbuena,19.423231265591,-99.102258682251,Linea 1
96,Boulevard Pto. Aéreo,19.419447001456,-99.095735549927,Linea 1
97,Gómez Farías,19.416391194454,-99.090349674225,Linea 1
98,Zaragoza,19.412282966038,-99.082367420197,Linea 1
99,Pantitlán,19.415359,-99.072207,Linea 1
100,Cuatro Caminos,19.459592132589,-99.215898513794,Linea 2
101,Panteones,19.458803085067,-99.203174114227,Linea 2
102,Tacuba,19.459369581113,-99.189248085022,Linea 2
103,Cuitláhuac,19.457487997333,-99.182360172272,Linea 2
104,Popotla,19.452146608312,-99.174764156342,Linea 2
105,Colegio Militar,19.448970017051,-99.171545505524,Linea 2
106,Normal,19.445287521322,-99.167382717133,Linea 2
107,San Cosme,19.441807283723,-99.161095619202,Linea 2
108,Revolución,19.439905261873,-99.155666828156,Linea 2
109,Hidalgo,19.437497351185,-99.147298336029,Linea 2
110,Bellas Artes,19.436445143706,-99.141933917999,Linea 2
111,Allende,19.435575043909,-99.137427806854,Linea 2
112,Zócalo,19.433248009916,-99.133007526398,Linea 2
113,Pino Suárez,19.425801277079,-99.132900238037,Linea 2
114,San Antonio Abad,19.418738706934,-99.134166240692,Linea 2
115,Chabacano,19.408498447018,-99.135775566101,Linea 2
116,Viaducto,19.400888666272,-99.136934280396,Linea 2
117,Xola,19.395221577028,-99.137814044952,Linea 2
118,Villa de Cortés,19.387570693515,-99.138994216919,Linea 2
119,Nativitas,19.379433645109,-99.140174388885,Linea 2
120,Portales,19.369919665097,-99.141590595245,Linea 2
121,Ermita,19.361904144287,-99.142929077148,Linea 2
122,General Anaya,19.353278986282,-99.145002365112,Linea 2
123,Tasqueña,19.34418865273,-99.142642021179,Linea 2
124,Indios Verdes,19.49539870767,-99.119510650635,Linea 3
125,Deportivo 18 de Marzo,19.48378772509,-99.126580953598,Linea 3
126,Potrero,19.476960321374,-99.132192134857,Linea 3
127,La Raza,19.470274244218,-99.136934280396,Linea 3
128,Tlatelolco,19.45510058004,-99.142813682556,Linea 3
129,Guerrero,19.44512565146,-99.145367145538,Linea 3
130,Hidalgo,19.437497351185,-99.147319793701,Linea 3
131,Juárez,19.433268245138,-99.147899150848,Linea 3
132,Balderas,19.427399925133,-99.149100780487,Linea 3
133,Niños Héroes,19.419952924224,-99.151010513306,Linea 3
134,Hospital General,19.413517469231,-99.15399312973,Linea 3
135,Centro Médico,19.407041282521,-99.155666828156,Linea 3
136,Etiopía / Plaza de la Transparencia,19.395626375662,-99.156267642975,Linea 3
137,Eugenia,19.385506107787,-99.157469272614,Linea 3
138,División del Norte,19.379818241127,-99.159100055695,Linea 3
139,Zapata,19.370729387151,-99.164936542511,Linea 3
140,Coyoacán,19.361457828976,-99.17049407959,Linea 3
